refAreaCode,importPartner2_Code,importPartner2_DescEN,importPartner2_DescFR
604,840,United States,États-Unis
608,410,Rep. of Korea,République de Corée
616,156,China,Chine
620,276,Germany,Allemagne
626,156,China,Chine
634,156,China,Chine
642,380,Italy,Italie
643,276,Germany,Allemagne
646,800,Uganda,Ouganda
659,780,Trinidad and Tobago,Trinité-et-Tobago
662,780,Trinidad and Tobago,Trinité-et-Tobago
670,780,Trinidad and Tobago,Trinité-et-Tobago
678,24,Angola,Angola
682,840,United States,États-Unis
686,156,China,Chine
688,380,Italy,Italie
694,356,India,Inde
702,458,Malaysia,Malaisie
703,203,Czechia,Tchéquie
704,410,Rep. of Korea,République de Corée
705,380,Italy,Italie
710,276,Germany,Allemagne
716,702,Singapore,Singapour
724,250,France,France
740,528,Netherlands,Pays-Bas
752,528,Netherlands,Pays-Bas
756,826,United Kingdom,Royaume-Uni
764,392,Japan,Japon
768,250,France,France
776,242,Fiji,Fidji
784,156,China,Chine
788,250,France,France
792,276,Germany,Allemagne
796,826,United Kingdom,Royaume-Uni
800,356,India,Inde
804,156,China,Chine
807,826,United Kingdom,Royaume-Uni
818,276,Germany,Allemagne
826,156,China,Chine
834,356,India,Inde
840,484,Mexico,Mexique
854,384,Côte d'Ivoire,Côte d'Ivoire
858,76,Brazil,Brésil
862,156,China,Chine
882,702,Singapore,Singapour
887,682,Saudi Arabia,Arabie saoudite
894,180,Dem.Rep. of the Congo,Rép. Dém. du Congo
24,620,Portugal,Portugal
92,840,United States,États-Unis
104,702,Singapore,Singapour
148,250,France,France
180,710,South Africa,Afrique du Sud
192,724,Spain,Espagne
226,156,China,Chine
232,156,China,Chine
234,578,Norway,Norvège
238,724,Spain,Espagne
262,356,India,Inde
266,156,China,Chine
292,528,Netherlands,Pays-Bas
308,826,United Kingdom,Royaume-Uni
332,214,Dominican Rep.,République dominicaine
368,792,Turkey,Turquie
408,643,Russian Federation,Fédération de Russie
418,156,China,Chine
430,156,China,Chine
434,156,China,Chine
580,344,"China, Hong Kong SAR","Chine, RAS Hong Kong"
584,840,United States,États-Unis
624,686,Senegal,Sénégal
654,710,South Africa,Afrique du Sud
660,250,France,France
666,124,Canada,Canada
690,724,Spain,Espagne
706,356,India,Inde
728,404,Kenya,Kenya
729,784,United Arab Emirates,Émirats arabes unis
748,156,China,Chine
760,156,China,Chine
762,643,Russian Federation,Fédération de Russie
772,276,Germany,Allemagne
780,643,Russian Federation,Fédération de Russie
795,643,Russian Federation,Fédération de Russie
798,242,Fiji,Fidji
860,156,China,Chine
876,242,Fiji,Fidji
158,392,Japan,Japon
