refAreaCode,exportPartner2_Code,exportPartner2_DescEN,exportPartner2_DescFR
496,826,United Kingdom,Royaume-Uni
498,643,Russian Federation,Fédération de Russie
499,70,Bosnia Herzegovina,Bosnie-Herzégovine
500,840,United States,États-Unis
504,250,France,France
508,528,Netherlands,Pays-Bas
512,784,United Arab Emirates,Émirats arabes unis
516,72,Botswana,Botswana
524,840,United States,États-Unis
528,56,Belgium,Belgique
533,170,Colombia,Colombie
540,410,Rep. of Korea,République de Corée
548,478,Mauritania,Mauritanie
554,36,Australia,Australie
558,484,Mexico,Mexique
562,764,Thailand,Thaïlande
566,840,United States,États-Unis
578,276,Germany,Allemagne
585,392,Japan,Japon
586,156,China,Chine
591,170,Colombia,Colombie
598,36,Australia,Australie
600,32,Argentina,Argentine
604,840,United States,États-Unis
608,344,"China, Hong Kong SAR","Chine, RAS Hong Kong"
616,826,United Kingdom,Royaume-Uni
620,250,France,France
626,840,United States,États-Unis
634,410,Rep. of Korea,République de Corée
642,380,Italy,Italie
643,156,China,Chine
646,404,Kenya,Kenya
659,662,Saint Lucia,Sainte-Lucie
662,780,Trinidad and Tobago,Trinité-et-Tobago
670,662,Saint Lucia,Sainte-Lucie
678,724,Spain,Espagne
682,784,United Arab Emirates,Émirats arabes unis
686,756,Switzerland,Suisse
688,276,Germany,Allemagne
694,156,China,Chine
702,344,"China, Hong Kong SAR","Chine, RAS Hong Kong"
703,203,Czechia,Tchéquie
704,156,China,Chine
705,380,Italy,Italie
710,840,United States,États-Unis
716,784,United Arab Emirates,Émirats arabes unis
724,276,Germany,Allemagne
740,344,"China, Hong Kong SAR","Chine, RAS Hong Kong"
752,578,Norway,Norvège
756,840,United States,États-Unis
764,156,China,Chine
768,204,Benin,Bénin
776,410,Rep. of Korea,République de Corée
784,490,Asia nes,Asie nsa
788,380,Italy,Italie
792,826,United Kingdom,Royaume-Uni
796,140,Central African Rep.,Rép. centrafricaine
800,784,United Arab Emirates,Émirats arabes unis
804,616,Poland,Pologne
807,688,Serbia,Serbie
818,380,Italy,Italie
826,276,Germany,Allemagne
834,710,South Africa,Afrique du Sud
840,484,Mexico,Mexique
854,356,India,Inde
858,76,Brazil,Brésil
862,156,China,Chine
882,36,Australia,Australie
887,512,Oman,Oman
894,156,China,Chine
24,356,India,Inde
48,784,United Arab Emirates,Émirats arabes unis
92,646,Rwanda,Rwanda
104,764,Thailand,Thaïlande
136,528,Netherlands,Pays-Bas
148,156,China,Chine
180,894,Zambia,Zambie
192,124,Canada,Canada
226,356,India,Inde
232,410,Rep. of Korea,République de Corée
234,826,United Kingdom,Royaume-Uni
238,840,United States,États-Unis
262,682,Saudi Arabia,Arabie saoudite
266,36,Australia,Australie
292,276,Germany,Allemagne
308,276,Germany,Allemagne
332,214,Dominican Rep.,République dominicaine
368,702,Singapore,Singapour
408,356,India,Inde
414,356,India,Inde
418,764,Thailand,Thaïlande
430,756,Switzerland,Suisse
434,276,Germany,Allemagne
580,410,Rep. of Korea,République de Corée
583,156,China,Chine
584,840,United States,États-Unis
624,704,Viet Nam,Viet Nam
654,422,Lebanon,Liban
660,840,United States,États-Unis
666,729,Sudan,Soudan
690,250,France,France
706,512,Oman,Oman
728,356,India,Inde
729,156,China,Chine
748,404,Kenya,Kenya
760,818,Egypt,Égypte
762,756,Switzerland,Suisse
772,702,Singapore,Singapour
780,328,Guyana,Guyana
795,4,Afghanistan,Afghanistan
798,608,Philippines,Philippines
860,156,China,Chine
876,250,France,France
158,344,"China, Hong Kong SAR","Chine, RAS Hong Kong"
